Latitude,Longitude,Date,Depth (m),Temperature (°C),Salinity (PSU),Pressure (dbar),DOXY (Âµmol/kg),Nitrate (Âµmol/L),Phosphate (Âµmol/L),Silicate (Âµmol/L),pH,Chlorophyll-a (mg/mÂ³),Density (kg/mÂ³),Potential Density (kg/mÂ³),Total Alkalinity (Âµmol/kg),pCOâ (Âµatm),Fluorescence (a.u.),Turbidity (NTU),PAR (Âµmol/mÂ²/s),Ocean Region
-3.23,101.6,9/19/2024 0:02,111.1111111,27.35,36.018,112.3,166.12,6.23,0.248,5.06,8.088,0.645,997.34,997.36,2262.7,393,0.591,1.051,216.7,Eastern Indian Ocean
-3.23,101.6,1/18/2025 14:29,222.2222222,24.04,35.462,220.9,147.05,7.06,0.876,9.31,8.002,0.467,997.56,997.6,2246.4,398.8,0.335,0.145,23.5,Eastern Indian Ocean
-3.23,101.6,8/5/2024 10:28,333.3333333,22,36.062,331.6,209.11,8.94,0.868,13.82,7.993,0.148,998.45,998.52,2436.6,365.6,0.195,0.106,2.5,Eastern Indian Ocean
-3.23,101.6,7/8/2024 9:36,444.4444444,19.86,36.58,445.3,170.24,10.28,1.024,18.73,7.91,0.087,999.29,999.38,2345.1,357.9,0.01,0.029,0.3,Eastern Indian Ocean
-3.23,101.6,8/29/2025 8:22,555.5555556,16.93,35.016,554.8,172.51,14.56,1.539,22.52,7.856,0.084,998.63,998.74,2289.8,366.7,0.008,0.01,0,Eastern Indian Ocean
-3.23,101.6,5/25/2025 2:19,666.6666667,16.15,36.242,665.1,122.06,17.39,1.714,28,7.914,0.043,999.76,999.89,2297.5,387,0.003,0.001,0,Eastern Indian Ocean
-3.23,101.6,1/3/2025 21:06,777.7777778,12.94,36.678,778.4,101.19,18.83,1.919,33.09,7.864,0.017,1000.75,1000.91,2439.2,369.6,0.007,0.001,0,Eastern Indian Ocean
-3.23,101.6,6/28/2024 5:50,888.8888889,11.44,36.84,888.3,101.57,21.93,2.135,37.05,7.911,0.012,1001.18,1001.36,2487.8,318.5,0.004,0,0,Eastern Indian Ocean
-3.23,101.6,7/7/2025 20:05,1000,8.76,37.351,1001.1,74.96,21.98,2.046,40.08,7.763,0.004,1002.13,1002.33,2386.1,358.1,0.001,0,0,Eastern Indian Ocean
-24.56,98.14,3/9/2024 4:01,0,29.24,34.337,1,163.33,1.44,0.241,0.82,8.193,0.549,995.62,995.62,2295.4,376.7,0.578,2.06,2000,South Indian Ocean
-24.56,98.14,6/18/2025 8:19,111.1111111,27.23,34.688,111.1,179.02,4.31,0.632,5.63,8.052,0.256,996.3,996.32,2201.1,418,0.509,1.144,216.7,South Indian Ocean
-24.56,98.14,7/31/2025 12:52,222.2222222,25.11,34.563,220.9,180.28,9.25,0.476,9.07,7.999,0.304,996.63,996.67,2327.3,353,0.039,0.385,23.5,South Indian Ocean
-24.56,98.14,3/13/2024 23:30,333.3333333,22.51,35.82,335.3,217.51,8.31,0.811,15.02,8.072,0.244,998.15,998.22,2416,365.1,0.012,0.031,2.5,South Indian Ocean
-24.56,98.14,8/8/2024 20:28,444.4444444,20.62,35.523,443.2,184.41,9.52,1.315,19.59,7.998,0.09,998.29,998.38,2339.3,394.3,0.028,0.002,0.3,South Indian Ocean
-24.56,98.14,7/5/2025 15:13,555.5555556,18.05,36.193,556.8,174.23,12.27,1.237,22.72,7.961,0.079,999.34,999.45,2415.3,339,0.042,0.014,0,South Indian Ocean
-24.56,98.14,1/13/2024 7:37,666.6666667,15.71,36.13,665,140.17,16.86,1.551,27.09,7.847,0.004,999.76,999.89,2423.1,340.3,0.02,0.004,0,South Indian Ocean
-24.56,98.14,10/28/2024 1:55,777.7777778,12.74,35.868,776.7,142.63,19.1,1.915,31.54,7.898,0.02,1000.15,1000.31,2282.2,376.5,0.005,0.002,0,South Indian Ocean
-24.56,98.14,5/14/2025 14:10,888.8888889,10.63,36.763,888.5,126.88,21.25,2.022,37.09,7.811,0.011,1001.28,1001.46,2421,372.6,0.003,0,0,South Indian Ocean
-24.56,98.14,10/9/2024 11:11,1000,8.82,36.875,1000.2,87.96,23.65,2.015,40.23,7.895,0.009,1001.74,1001.94,2486.3,324.8,0.002,0,0,South Indian Ocean
-2.73,52.08,1/6/2024 15:38,0,28.16,34.783,-0.8,201.44,0.74,0.327,1.93,8.149,1.25,996.19,996.19,2276.7,399.3,1.027,3.36,2000,Western Indian Ocean
-2.73,52.08,3/17/2025 3:51,111.1111111,27.67,35.099,109.6,230.94,2.48,0.689,4.98,8.115,0.077,996.55,996.57,2376.5,393.1,0.144,0.227,216.7,Western Indian Ocean
-2.73,52.08,2/26/2024 22:19,222.2222222,24.06,34.348,220.8,203.76,8.4,0.635,9.97,7.976,0.091,996.67,996.71,2240.1,361,0.301,0.515,23.5,Western Indian Ocean
-2.73,52.08,2/18/2025 16:31,333.3333333,23.3,36.47,335.2,181.68,9.31,1.156,13.66,7.987,0.052,998.52,998.59,2331.5,406.8,0.121,0.145,2.5,Western Indian Ocean
-2.73,52.08,8/27/2024 20:40,444.4444444,20.2,36.503,444.4,167.07,11.96,1.072,18.44,8.055,0.03,999.16,999.25,2393.2,382.5,0.065,0.006,0.3,Western Indian Ocean
-2.73,52.08,2/7/2024 2:09,555.5555556,17.42,36.748,557,127.9,15.13,1.301,22.8,7.863,0.029,999.91,1000.02,2292.4,390.4,0.022,0.015,0,Western Indian Ocean
-2.73,52.08,3/6/2025 7:51,666.6666667,16.4,36.868,668.6,174.4,13.56,1.718,28.6,7.852,0.034,1000.21,1000.34,2403.2,336.5,0.019,0.001,0,Western Indian Ocean
-2.73,52.08,3/4/2024 1:08,777.7777778,12.74,36.771,777.4,117.39,16.76,1.74,31.55,7.936,0.026,1000.87,1001.03,2304.1,368.4,0.01,0.002,0,Western Indian Ocean
-2.73,52.08,3/31/2024 17:04,888.8888889,11.91,36.596,888.7,103.13,20.28,1.971,36.98,7.776,0.002,1000.89,1001.07,2388.4,311.5,0.005,0,0,Western Indian Ocean
-2.73,52.08,10/29/2024 18:07,1000,8.78,36.857,998.9,76.25,23.4,2.138,40.51,7.875,0.003,1001.73,1001.93,2477.5,335.8,0.001,0,0,Western Indian Ocean
8.97,61.68,2/12/2025 5:40,0,29.88,34.832,-0.5,178.5,4.48,0.048,1.5,8.129,0.056,995.89,995.89,2251.7,389.2,1.832,0.593,2000,Arabian Sea
8.97,61.68,5/4/2024 1:40,111.1111111,26.09,35.946,111.4,221.3,4.43,0.291,5.05,8.032,0.605,997.54,997.56,2293.1,402,0.657,0.778,216.7,Arabian Sea
8.97,61.68,6/21/2024 7:59,222.2222222,23.6,34.97,222.6,178.77,8.8,0.75,10.16,8.042,0.36,997.26,997.3,2334.5,369.5,0.296,0.457,23.5,Arabian Sea
8.97,61.68,8/18/2025 19:33,333.3333333,21.95,35.553,335.3,184.72,9.65,0.866,14.12,8.098,0.067,998.05,998.12,2271.3,358.9,0.14,0.02,2.5,Arabian Sea
8.97,61.68,7/22/2024 15:16,444.4444444,19.6,34.694,444.9,115.66,8.99,1.064,18.36,7.957,0.063,997.84,997.93,2363,347.2,0.052,0.053,0.3,Arabian Sea
8.97,61.68,6/20/2024 22:11,555.5555556,17.66,35.223,555.8,149.28,13.54,1.332,23.28,7.948,0.006,998.65,998.76,2312.4,342.5,0.042,0.01,0,Arabian Sea
8.97,61.68,10/4/2024 8:28,666.6666667,15.65,36.463,667.6,129.37,18.2,1.423,26.69,7.922,0.05,1000.04,1000.17,2458,349.9,0.012,0.004,0,Arabian Sea
8.97,61.68,5/5/2024 13:03,777.7777778,12.89,35.922,779.3,168.28,20.08,1.861,33.05,7.835,0.014,1000.16,1000.32,2313.6,316.8,0.009,0.001,0,Arabian Sea
8.97,61.68,2/4/2024 3:31,888.8888889,10.53,36.348,887.5,97.05,18.31,2.043,36.51,7.882,0.016,1000.97,1001.15,2316.7,353.4,0.001,0.001,0,Arabian Sea
8.97,61.68,1/16/2024 11:08,1000,9.28,36.593,1001.7,79.54,24.52,2.272,41.91,7.712,0.005,1001.42,1001.62,2329,303.2,0.001,0,0,Arabian Sea
21.93,61.82,12/25/2024 16:25,0,28.77,35.492,1.5,189.44,2.82,0.395,1.63,8.058,0.708,996.64,996.64,2318.2,424.4,0.123,1.78,2000,Arabian Sea
21.93,61.82,8/20/2025 16:21,111.1111111,27.06,35.895,112.5,159.11,4.54,0.57,5.04,8.09,0.335,997.3,997.32,2314.5,409.9,0.372,0.213,216.7,Arabian Sea
21.93,61.82,4/28/2025 4:36,222.2222222,24.85,34.782,223.1,223.88,6.19,0.926,9.76,8.033,0.29,996.86,996.9,2388,363.8,0.418,0.092,23.5,Arabian Sea
21.93,61.82,4/5/2024 5:00,333.3333333,21.48,35.185,333.4,201.45,10.06,0.964,13.73,7.991,0.235,997.85,997.92,2316.8,356.4,0.156,0.068,2.5,Arabian Sea
21.93,61.82,5/10/2024 14:39,444.4444444,19.55,34.88,445,155.71,13.04,1.152,19.63,8.045,0.117,997.99,998.08,2231.9,348.5,0.006,0.004,0.3,Arabian Sea
21.93,61.82,5/10/2025 7:36,555.5555556,18.61,35.498,553.9,105.63,13.17,1.43,23,7.839,0.073,998.68,998.79,2358.4,372,0.041,0.002,0,Arabian Sea
21.93,61.82,3/6/2024 0:16,666.6666667,15.26,36.809,665.6,98.76,16.86,1.388,28.63,7.803,0.017,1000.4,1000.53,2327.6,323.8,0.002,0.006,0,Arabian Sea
21.93,61.82,4/27/2025 11:33,777.7777778,12.9,35.319,777.1,176.78,18.26,1.649,33.05,7.941,0.018,999.68,999.84,2352.5,370.8,0.001,0,0,Arabian Sea
21.93,61.82,1/11/2025 21:10,888.8888889,11.29,36.847,888.3,168.53,19.71,2.153,35.88,7.814,0.001,1001.22,1001.4,2321.8,320.7,0.003,0.001,0,Arabian Sea
21.93,61.82,7/11/2024 1:17,1000,9.83,35.579,1001.7,126.62,21.99,2.131,40.25,7.768,0.007,1000.5,1000.7,2321.4,373.3,0.003,0,0,Arabian Sea
-21.69,83.56,11/20/2024 0:16,0,29.62,35.651,-1.9,222.81,4.03,0.447,0.6,8.11,0.141,996.6,996.6,2253.2,390.2,1.754,3.438,2000,South Indian Ocean
-21.69,83.56,5/4/2025 3:24,111.1111111,26.25,36.104,111.1,184.49,2.33,0.504,5.53,8.101,0.529,997.63,997.65,2339.8,368.6,0.854,1.038,216.7,South Indian Ocean
-21.69,83.56,10/10/2024 12:45,222.2222222,24.04,36.13,222.6,138.57,5.41,0.801,9.03,7.963,0.166,998.1,998.14,2401.3,373.3,0.139,0.118,23.5,South Indian Ocean
-21.69,83.56,9/9/2024 16:20,333.3333333,22.29,36.323,335,190.91,8.26,1.111,14.63,8.054,0.264,998.6,998.67,2322,363.3,0.081,0.149,2.5,South Indian Ocean
-21.69,83.56,12/30/2024 19:06,444.4444444,20.22,35.365,442.9,207.1,11.39,1.063,18.87,7.914,0.126,998.25,998.34,2356.4,373,0.036,0.031,0.3,South Indian Ocean
-21.69,83.56,2/9/2024 13:47,555.5555556,18.3,36.144,556.6,116.68,12.54,1.442,23.67,7.983,0.062,999.26,999.37,2419.3,379.7,0.009,0.014,0,South Indian Ocean
-21.69,83.56,3/17/2025 18:21,666.6666667,14.7,35.045,667.4,151.43,13.55,1.618,26.89,7.908,0.04,999.1,999.23,2315.5,373.7,0.017,0.004,0,South Indian Ocean
-21.69,83.56,4/29/2024 3:27,777.7777778,14.3,35.947,777.5,120.29,19.34,1.558,31.5,7.819,0.012,999.9,1000.06,2436.6,366.4,0.009,0.002,0,South Indian Ocean
-21.69,83.56,5/5/2024 17:41,888.8888889,10.47,35.539,888.8,101.91,21.69,1.857,35.8,7.819,0.005,1000.34,1000.52,2390.5,364.2,0.005,0,0,South Indian Ocean
-21.69,83.56,2/19/2024 18:10,1000,9.78,37.176,998.4,79.28,23.42,2.259,40.63,7.772,0.008,1001.78,1001.98,2503,319.6,0.001,0,0,South Indian Ocean
-4.61,97.2,4/16/2024 0:46,0,28.45,34.631,1.3,185.12,4.06,0.045,0.12,8.059,0.272,996.01,996.01,2219,378.6,0.701,0.482,2000,Eastern Indian Ocean
-4.61,97.2,3/18/2024 17:43,111.1111111,27.77,34.849,112.3,151.07,6.03,0.557,4.95,8.1,0.824,996.33,996.35,2214.1,364.8,0.567,1.071,216.7,Eastern Indian Ocean
-4.61,97.2,5/6/2025 9:24,222.2222222,23.88,34.734,222.9,142.19,8.36,0.726,8.96,8.105,0.124,997.01,997.05,2340.9,378.5,0.295,0.186,23.5,Eastern Indian Ocean
-4.61,97.2,10/9/2024 17:25,333.3333333,22.03,34.857,331.9,208.08,8.65,0.681,14.1,8.087,0.229,997.48,997.55,2253.7,380.3,0.042,0.131,2.5,Eastern Indian Ocean
-4.61,97.2,6/22/2025 12:49,444.4444444,20.53,36.315,446.1,133.86,9.35,1.147,18.74,8.055,0.033,998.95,999.04,2449.8,382.9,0.011,0.032,0.3,Eastern Indian Ocean
-4.61,97.2,11/22/2024 5:59,555.5555556,18.77,36.194,554.2,171.21,11.84,1.343,23.1,7.877,0.017,999.2,999.31,2267.8,350.1,0.034,0.01,0,Eastern Indian Ocean
-4.61,97.2,7/23/2024 1:54,666.6666667,15.24,35.629,668.6,100.43,16.91,1.821,27.88,7.984,0.042,999.46,999.59,2296.1,347.9,0.001,0.006,0,Eastern Indian Ocean
-4.61,97.2,7/16/2025 11:21,777.7777778,13.85,37.154,778.1,186.08,20.51,2.015,31.62,7.881,0.011,1000.95,1001.11,2355.1,359,0.011,0.001,0,Eastern Indian Ocean
-4.61,97.2,3/14/2024 4:03,888.8888889,11.19,36.655,887.7,163.18,21.58,2.035,37.46,7.754,0.01,1001.09,1001.27,2438,331.7,0.004,0,0,Eastern Indian Ocean
-4.61,97.2,9/9/2024 12:07,1000,9.56,36.906,1001.2,134.02,23.84,2.392,41.17,7.751,0.006,1001.61,1001.81,2317.3,355.2,0,0,0,Eastern Indian Ocean
-15.42,93.54,4/24/2025 6:22,0,28.96,35.491,1.6,180.49,3.34,0.18,1.84,8.103,0.852,996.6,996.6,2421.2,407.4,1.402,2.669,2000,South Indian Ocean
-15.42,93.54,12/24/2024 14:31,111.1111111,27.51,35.722,111.6,185.65,5.4,0.652,5.85,7.999,0.565,997.08,997.1,2424.7,399.4,0.618,0.658,216.7,South Indian Ocean
-15.42,93.54,12/3/2024 20:34,222.2222222,23.8,35.529,223.1,215.99,7.14,0.721,10.1,8.023,0.276,997.66,997.7,2264.2,350.2,0.417,0.428,23.5,South Indian Ocean
-15.42,93.54,3/26/2024 23:34,333.3333333,23.05,35.217,331.7,211.42,11.27,0.728,13.35,8.085,0.044,997.56,997.63,2237.5,361.4,0.108,0.065,2.5,South Indian Ocean
-15.42,93.54,12/27/2024 18:56,444.4444444,20.72,34.841,443.2,199.72,10.46,1.274,19.55,7.965,0.083,997.73,997.82,2261.7,364.4,0.019,0.016,0.3,South Indian Ocean
-15.42,93.54,7/6/2025 2:18,555.5555556,17.54,36.809,557.5,111.91,13.75,1.123,23.88,8.013,0.014,999.94,1000.05,2471.5,328.8,0.026,0.006,0,South Indian Ocean
-15.42,93.54,1/6/2025 15:21,666.6666667,15.58,36.894,668.5,144.57,13.44,1.518,27.91,7.853,0.041,1000.4,1000.53,2442.7,356.1,0.004,0.001,0,South Indian Ocean
-15.42,93.54,5/15/2024 4:37,777.7777778,12.78,36.784,776.1,111.17,18.3,1.917,33.01,7.85,0.002,1000.87,1001.03,2289.6,322.9,0.008,0.002,0,South Indian Ocean
-15.42,93.54,2/11/2024 2:30,888.8888889,11.07,36.449,887.5,162.62,21.49,1.945,37.46,7.923,0.013,1000.95,1001.13,2469.7,350.2,0.005,0,0,South Indian Ocean
-15.42,93.54,11/16/2024 4:21,1000,9.42,37.404,998.2,95.1,24.56,2.411,41.91,7.88,0.005,1002.04,1002.24,2498,370.1,0.001,0,0,South Indian Ocean
-13.28,69.35,12/20/2024 0:16,0,29.01,34.323,1,179.46,0.87,0.266,1.48,8.056,0.574,995.66,995.66,2206.1,423.3,1.204,3.377,2000,South Indian Ocean
-13.28,69.35,11/17/2024 14:58,111.1111111,25.82,36.053,110,230.89,5.14,0.691,6.14,8.11,0.462,997.68,997.7,2340.4,394,0.049,1.47,216.7,South Indian Ocean
-13.28,69.35,3/19/2025 2:39,222.2222222,25.04,35.232,221.9,223.27,6.31,0.577,9.35,7.945,0.174,997.18,997.22,2410.7,360,0.211,0.15,23.5,South Indian Ocean
-13.28,69.35,6/21/2025 21:41,333.3333333,22.66,34.651,334.1,166.94,11.34,1.022,13.51,8.07,0.205,997.19,997.26,2275.5,347.3,0.113,0.04,2.5,South Indian Ocean
-13.28,69.35,8/28/2025 16:37,444.4444444,19.94,35.059,444.1,160.43,9.93,1.372,19.37,8.05,0.009,998.06,998.15,2354.5,394.8,0.054,0.023,0.3,South Indian Ocean
-13.28,69.35,3/26/2025 6:51,555.5555556,17.09,34.85,554.2,149.57,13.05,1.438,22.67,7.944,0.078,998.46,998.57,2293.6,383,0.034,0.004,0,South Indian Ocean
-13.28,69.35,3/11/2025 3:20,666.6666667,15.62,36.198,666.1,194.07,16.24,1.733,27.82,7.806,0.043,999.83,999.96,2292.9,366,0.002,0.001,0,South Indian Ocean
-13.28,69.35,11/17/2024 10:08,777.7777778,12.66,35.553,779.6,170.92,20.52,1.753,32.57,7.82,0.026,999.91,1000.07,2360.9,314.1,0.004,0.002,0,South Indian Ocean
-13.28,69.35,2/27/2025 18:13,888.8888889,10.62,35.659,888.2,148.38,22.52,2.113,35.86,7.766,0.013,1000.4,1000.58,2309.5,345.3,0.002,0,0,South Indian Ocean
-13.28,69.35,7/7/2025 9:55,1000,8.85,37.219,1001.9,75.93,22.64,2.242,40.67,7.804,0.01,1002.01,1002.21,2478.3,313.2,0.001,0,0,South Indian Ocean
-5.3,56.33,6/9/2025 17:43,0,29.82,34.646,1.8,176.06,2.84,0.035,1.95,8.15,1.446,995.75,995.75,2202.8,369.2,1.667,2.835,2000,Western Indian Ocean
-5.3,56.33,5/9/2025 17:31,111.1111111,27.71,35.341,112.6,157.57,6.79,0.229,5.35,7.968,0.245,996.73,996.75,2298.8,398.6,0.27,0.726,216.7,Western Indian Ocean
-5.3,56.33,7/23/2025 12:01,222.2222222,24.49,36.21,222.7,224.34,6.08,0.602,10.53,8.037,0.415,998.07,998.11,2270.2,407.3,0.15,0.363,23.5,Western Indian Ocean
-5.3,56.33,11/16/2024 23:33,333.3333333,22.76,34.566,334.1,156.93,7.75,1.096,15.24,8.006,0.058,997.1,997.17,2310.2,359.6,0.099,0.1,2.5,Western Indian Ocean
-5.3,56.33,1/12/2025 19:13,444.4444444,20.28,35.732,445.9,119.42,13.16,1.024,18.74,7.911,0.081,998.53,998.62,2258.3,359.2,0.073,0.005,0.3,Western Indian Ocean
-5.3,56.33,6/27/2025 11:19,555.5555556,17.38,36.506,556.7,174.86,14.92,1.452,23.74,7.932,0.009,999.73,999.84,2474.7,337.8,0.023,0.009,0,Western Indian Ocean
-5.3,56.33,10/24/2024 8:04,666.6666667,14.92,35.722,668,141.62,16.16,1.827,28.56,7.922,0.02,999.59,999.72,2301.8,370.6,0.01,0.006,0,Western Indian Ocean
-5.3,56.33,4/6/2024 16:19,777.7777778,12.59,35.598,779.3,159.66,15.93,1.797,32.14,7.836,0.028,999.96,1000.12,2328,382.3,0.003,0.001,0,Western Indian Ocean
-5.3,56.33,2/4/2024 15:22,888.8888889,10.31,37.156,887.3,103.58,17.96,1.803,36.58,7.805,0.006,1001.66,1001.84,2348.5,363.9,0.005,0,0,Western Indian Ocean
-5.3,56.33,3/23/2024 19:34,1000,8.72,36.218,1001.9,125.33,24.29,2.145,40.97,7.885,0.006,1001.23,1001.43,2295.4,317.3,0,0,0,Western Indian Ocean
-27.3,67.91,5/8/2024 8:18,0,29.21,34.332,-1.9,160.14,3.83,0.235,0.52,8.19,1.251,995.62,995.62,2219.8,411.7,1.725,2.095,2000,South Indian Ocean
-27.3,67.91,9/28/2024 5:20,111.1111111,27.77,35.176,112.3,202.58,7.05,0.651,6.23,8.143,0.226,996.59,996.61,2340.3,414,0.162,0.619,216.7,South Indian Ocean
-27.3,67.91,1/9/2025 9:43,222.2222222,24.82,34.931,222.3,144.45,8.56,0.595,10.74,8.009,0.337,996.98,997.02,2367.4,350.4,0.117,0.227,23.5,South Indian Ocean
-27.3,67.91,4/16/2025 9:56,333.3333333,23.01,36.276,331.9,152.87,10.99,1.016,14.49,7.929,0.193,998.42,998.49,2294.5,390.2,0.114,0.158,2.5,South Indian Ocean
-27.3,67.91,7/29/2025 21:51,444.4444444,19.68,35.932,443.8,146.02,13.23,1.387,19.3,7.897,0.023,998.81,998.9,2251,403.7,0.067,0.042,0.3,South Indian Ocean
-27.3,67.91,11/8/2024 14:44,555.5555556,17.35,35.952,554.9,153.9,14.85,1.426,24.14,8.008,0.026,999.29,999.4,2438.8,390.1,0.015,0.003,0,South Indian Ocean
-27.3,67.91,4/10/2025 15:20,666.6666667,14.95,36.077,668.3,160.82,16.98,1.619,27.1,7.922,0.036,999.87,1000,2378.3,339.8,0.007,0.003,0,South Indian Ocean
-27.3,67.91,7/17/2025 19:34,777.7777778,13.4,35.959,779.3,160.07,16.85,1.696,32.52,7.9,0.028,1000.09,1000.25,2407.5,361.6,0.003,0,0,South Indian Ocean
-27.3,67.91,2/1/2024 20:44,888.8888889,11.98,35.35,889.8,167.11,19.37,1.989,37.32,7.927,0.009,999.88,1000.06,2217.6,378.9,0.001,0,0,South Indian Ocean
-27.3,67.91,10/12/2024 1:49,1000,8.67,35.939,999.7,92.24,20.65,2.134,41.09,7.703,0.001,1001.02,1001.22,2275.6,360.9,0.002,0,0,South Indian Ocean
-11.63,105.96,7/12/2025 13:25,0,28.78,35.01,1.3,247.93,3.09,0.264,1.93,8.099,1.295,996.25,996.25,2271.4,363.3,1.176,3.9,2000,Eastern Indian Ocean
-11.63,105.96,11/16/2024 15:26,111.1111111,26.61,35.086,112.2,213.43,3.52,0.396,5.65,8.028,0.506,996.75,996.77,2251.4,369.2,0.311,0.276,216.7,Eastern Indian Ocean
-11.63,105.96,4/7/2024 16:58,222.2222222,24.96,35.235,223.1,197.28,4.54,0.599,9.58,8.022,0.29,997.2,997.24,2245.6,414,0.131,0.07,23.5,Eastern Indian Ocean
-11.63,105.96,6/4/2025 12:55,333.3333333,21.43,35.286,332.5,139.27,9.55,0.966,14.48,7.945,0.254,997.94,998.01,2338.5,362.2,0.103,0.092,2.5,Eastern Indian Ocean
-11.63,105.96,10/22/2024 14:16,444.4444444,20.68,36.446,445.7,133.03,11.6,1.249,18.78,7.913,0.016,999.02,999.11,2290.7,337.1,0.067,0.031,0.3,Eastern Indian Ocean
-11.63,105.96,3/11/2025 12:02,555.5555556,17.3,36.085,557.2,125.47,14.27,1.485,22.96,7.907,0.023,999.41,999.52,2325.7,385.1,0.004,0.006,0,Eastern Indian Ocean
-11.63,105.96,2/22/2025 11:20,666.6666667,15.09,36.859,667.6,196.11,13.56,1.495,26.94,7.856,0.025,1000.47,1000.6,2367.3,341.1,0.016,0.002,0,Eastern Indian Ocean
-11.63,105.96,6/23/2025 12:12,777.7777778,12.67,35.628,777.9,175.69,19.86,1.992,32.2,7.779,0.029,999.97,1000.13,2275.1,379.5,0.004,0.001,0,Eastern Indian Ocean
-11.63,105.96,2/25/2024 18:48,888.8888889,11.42,37.18,890,161.82,20.6,1.943,36.68,7.862,0.002,1001.46,1001.64,2432.3,373.4,0.003,0,0,Eastern Indian Ocean
-11.63,105.96,6/6/2025 8:33,1000,9,36.41,998.8,142.96,23.57,2.427,40.34,7.817,0.01,1001.33,1001.53,2274.1,329.7,0.002,0,0,Eastern Indian Ocean
-13.72,65.71,3/29/2025 10:33,0,29.06,34.971,-1.9,218.08,4.7,0.267,1.99,8.07,0.614,996.16,996.16,2266.3,404.3,0.266,3.573,2000,South Indian Ocean
-13.72,65.71,4/25/2024 11:17,111.1111111,27.73,35.168,111.4,206.9,5.96,0.561,4.95,8.032,0.053,996.59,996.61,2308,382.1,0.95,1.266,216.7,South Indian Ocean
-13.72,65.71,4/23/2024 16:05,222.2222222,24.69,36.198,223.4,177.79,6.34,0.608,9.75,8.106,0.079,998.02,998.06,2272.4,408.7,0.185,0.399,23.5,South Indian Ocean
-13.72,65.71,6/8/2024 21:51,333.3333333,22.69,35.165,331.8,172.98,11.27,0.849,13.66,8.067,0.078,997.59,997.66,2229.1,409.5,0.123,0.159,2.5,South Indian Ocean
-13.72,65.71,6/22/2025 4:06,444.4444444,20.56,35.835,444.1,214.18,12.05,1.129,18.39,7.915,0.079,998.56,998.65,2337.5,393.5,0.032,0.05,0.3,South Indian Ocean
-13.72,65.71,10/14/2024 7:23,555.5555556,18.81,34.894,556.2,189.33,12.61,1.132,23.43,7.846,0.062,998.15,998.26,2392.1,389.2,0.006,0.009,0,South Indian Ocean
-13.72,65.71,3/23/2025 22:56,666.6666667,14.68,36.422,668,195.18,14.68,1.378,27.33,7.923,0.026,1000.2,1000.33,2329.7,343.7,0.002,0.002,0,South Indian Ocean
-13.72,65.71,12/19/2024 20:19,777.7777778,12.74,36.663,779.3,178.18,17.47,1.625,32.4,7.951,0.005,1000.78,1000.94,2362.7,354.7,0.009,0.002,0,South Indian Ocean
-13.72,65.71,3/27/2024 10:52,888.8888889,11.83,36.918,888.1,126.38,22.68,2.244,36.35,7.756,0.017,1001.17,1001.35,2454.9,319.7,0.001,0,0,South Indian Ocean
-13.72,65.71,8/30/2024 5:46,1000,9.92,35.933,999.6,81.34,20.93,2.11,40.89,7.784,0.003,1000.76,1000.96,2312.7,305.1,0.002,0,0,South Indian Ocean
18.25,86.19,3/5/2024 15:10,0,29.14,34.614,-0.6,154.62,3.36,0.18,0.99,8.117,0.855,995.86,995.86,2333.6,384.7,1.022,1.316,2000,Bay of Bengal
18.25,86.19,5/1/2025 12:33,111.1111111,25.85,35.282,111.2,167.89,6.58,0.518,5.68,8.043,0.64,997.06,997.08,2227.1,399.8,0.912,0.529,216.7,Bay of Bengal
18.25,86.19,11/18/2024 9:33,222.2222222,24.15,35.981,221.3,184.73,5.21,0.808,10.85,8.058,0.025,997.95,997.99,2299.4,365.6,0.038,0.482,23.5,Bay of Bengal
18.25,86.19,8/13/2024 16:40,333.3333333,21.61,36.083,332.7,126.27,8.35,0.678,14.56,7.923,0.177,998.54,998.61,2393.5,358.3,0.071,0.094,2.5,Bay of Bengal
18.25,86.19,4/5/2025 3:46,444.4444444,20.74,35.398,444.6,124.67,11.13,1.308,18.21,7.908,0.018,998.17,998.26,2371.7,393.3,0.064,0.042,0.3,Bay of Bengal
18.25,86.19,5/4/2024 9:02,555.5555556,18.84,35.023,556.9,114.99,14.39,1.282,24.22,7.901,0.014,998.25,998.36,2275.4,335.5,0.016,0.015,0,Bay of Bengal
18.25,86.19,8/7/2025 23:44,666.6666667,15.63,35.802,665.6,160.23,13.78,1.616,28.16,7.928,0.032,999.52,999.65,2240.8,339.3,0.019,0,0,Bay of Bengal
18.25,86.19,6/14/2024 10:23,777.7777778,13.3,36.372,777.4,148.42,18.44,1.753,32.7,7.916,0.022,1000.44,1000.6,2299,371.3,0.002,0,0,Bay of Bengal
18.25,86.19,5/17/2025 12:52,888.8888889,10.94,35.668,889.9,90.11,19.24,2.15,36.58,7.842,0.009,1000.35,1000.53,2302.3,351.4,0.003,0,0,Bay of Bengal
18.25,86.19,12/2/2024 16:07,1000,9.15,36.537,999.4,91.89,24.87,2.438,41.03,7.881,0.003,1001.4,1001.6,2395,315.5,0.001,0,0,Bay of Bengal
16.25,94.58,5/4/2025 19:50,0,29.75,35.108,0.8,168.07,1.83,0.484,0.07,8.043,1.22,996.14,996.14,2281,408.1,1.568,2.017,2000,Bay of Bengal
